record_timestamp,CHR-01-L1-AMP,CHR-01-L1-V,CHR-01-L2-AMP,CHR-01-L2-V,CHR-01-L3-AMP,CHR-01-L3-V,CHR-01-KW,CHR-01-CHWSWT,CHR-01-CHWRWT,CHR-01-CHWFWR,CHR-02-L1-AMP,CHR-02-L1-V,CHR-02-L2-AMP,CHR-02-L2-V,CHR-02-L3-AMP,CHR-02-L3-V,CHR-02-KW,CHR-02-CHWSWT,CHR-02-CHWRWT,CHR-02-CHWFWR,CHR-03-L1-AMP,CHR-03-L1-V,CHR-03-L2-AMP,CHR-03-L2-V,CHR-03-L3-AMP,CHR-03-L3-V,CHR-03-KW,CHR-03-CHWSWT,CHR-03-CHWRWT,CHR-03-CHWFWR,CHR-04-L1-AMP,CHR-04-L1-V,CHR-04-L2-AMP,CHR-04-L2-V,CHR-04-L3-AMP,CHR-04-L3-V,CHR-04-KW,CHR-04-CHWSWT,CHR-04-CHWRWT,CHR-04-CHWFWR,CHR-01-Q,CHR-02-Q,CHR-03-Q,CHR-04-Q,Total_Cooling_Load,Total_Power_Consumption,Total_COP,hour_of_day,day_of_week,month,is_weekend
2024-01-18 17:30:00,38.6245,223.816,36.6098,223.826,37.4535,224.308,21.454107,17.0833,17.8556,115.9,36.4735,223.922,35.9702,223.68,36.5644,224.335,20.753351,21.2222,18.7944,0.0,19.5819,223.738,17.4882,223.833,18.6821,224.385,10.6144905,16.5556,16.0167,0.0,17.5388,223.808,16.1709,223.546,18.5217,224.3,9.940479,17.7278,18.0611,0.0,375.0450982999989,-0.0,-0.0,0.0,375.0450982999989,62.7624275,5.975630854941022,17,3,1,0
2024-01-19 17:30:00,39.2139,224.641,37.1629,224.681,37.8379,225.154,21.826473,17.1833,17.95,117.532,37.7319,224.824,35.476,224.545,36.814,225.322,21.0324,21.4111,18.9889,0.0,19.8955,224.607,17.7645,224.772,18.8468,225.434,10.803789,16.6556,16.2056,0.0,17.4176,224.722,15.5289,224.42,18.6514,225.034,9.856867,17.7278,18.0611,0.0,377.5683766360001,-0.0,-0.0,0.0,377.5683766360001,63.519529000000006,5.944130609595674,17,4,1,0
2024-01-22 17:30:00,39.1289,225.585,37.1088,225.418,37.9412,226.068,21.9038,14.8889,15.6444,111.003,37.5723,225.106,35.3016,224.769,36.7799,225.544,20.98475,21.2222,18.5,0.0,19.8789,225.526,17.7161,225.407,18.8775,226.145,10.833755,13.5333,12.75,0.0,18.3741,224.962,17.812,224.646,18.6211,225.563,10.484835,19.9167,20.25,0.0,351.3849916349999,-0.0,-0.0,0.0,351.3849916349999,64.20714,5.472677830456238,17,0,1,0
2024-01-23 17:30:00,37.7237,223.411,37.278,223.259,37.4971,224.025,21.378204,14.2167,14.9667,104.473,37.1205,222.874,34.9401,222.688,36.42,223.598,20.56777,19.7944,17.7278,0.0,19.5879,223.361,17.4521,223.411,18.708,224.264,10.599241,12.5389,11.8833,0.0,18.5379,222.715,15.3615,222.54,18.4635,223.622,9.924651,18.6778,19.2056,0.0,328.3064025,-0.0,-0.0,0.0,328.3064025,62.469865999999996,5.255436317087666,17,1,1,0
2024-01-24 17:30:00,38.8856,224.609,36.6916,224.775,37.662,225.543,21.65444,13.9278,14.7778,102.841,37.3954,224.556,35.1618,224.219,36.6763,225.152,20.858189,18.2722,16.5722,0.0,19.6892,224.527,17.5308,224.742,18.7914,225.604,10.710069,12.3444,11.5889,0.0,19.3003,224.421,16.9885,224.075,18.5571,225.225,10.469973,17.1556,17.3944,0.0,366.26822149999987,-0.0,-0.0,0.0,366.26822149999987,63.692671000000004,5.7505552169416765,17,2,1,0
2024-01-24 17:45:00,38.7739,224.541,38.256,224.555,37.9994,225.219,21.97683,14.8889,15.8389,114.267,37.4539,224.155,35.1997,223.852,36.6313,224.685,20.82968,18.1778,16.3833,0.0,19.1506,224.482,17.0285,224.441,18.4719,225.304,10.440254,12.3444,11.5889,0.0,18.3185,224.013,17.7737,223.717,18.5593,224.725,10.41301,17.1556,17.3944,0.0,454.83979350000055,-0.0,-0.0,0.0,454.83979350000055,63.659774,7.144854040795064,17,2,1,0
2024-01-25 17:30:00,38.681,224.304,36.5466,224.209,37.6002,224.867,21.526611,14.1222,14.9667,104.473,37.3423,224.451,35.1609,224.053,36.6814,224.913,20.833115,17.4167,16.0,0.0,19.5961,224.21,17.4669,224.196,18.758,224.991,10.650527,12.4389,11.6889,0.0,19.3017,224.351,17.0102,223.832,18.6016,224.139,10.461059,16.3,16.6333,0.0,369.6730092150001,-0.0,-0.0,0.0,369.6730092150001,63.47131199999999,5.824253470843649,17,3,1,0
2024-01-26 17:30:00,38.8165,224.579,36.6256,224.542,37.6847,225.283,21.616419,14.1222,14.8722,104.473,37.2047,224.388,35.0797,224.015,36.5833,224.989,20.771883,17.3222,15.5222,0.0,19.6627,224.471,17.4952,224.51,18.7831,225.328,10.687825,12.4389,11.5889,0.0,18.6215,224.277,15.4212,223.876,18.5432,224.606,10.024666,16.3944,16.6333,0.0,328.3064025,-0.0,-0.0,0.0,328.3064025,63.100792999999996,5.202888694283129,17,4,1,0
2024-01-29 17:30:00,38.6659,223.12,36.4511,223.114,37.4017,223.699,21.357618,14.1222,14.8722,104.473,37.3543,223.247,34.9788,222.819,36.4668,223.691,20.646902,17.5111,15.7111,0.0,19.5894,223.044,17.4349,223.012,18.6485,223.778,10.566023,12.4389,11.6889,0.0,19.2398,223.161,16.9278,222.71,18.4636,223.541,10.362295,17.8278,18.1556,0.0,328.3064025,-0.0,-0.0,0.0,328.3064025,62.932838000000004,5.216774150563494,17,0,1,0
2024-01-30 17:30:00,38.98,224.542,36.9067,224.711,37.8284,225.48,21.739204,14.3111,15.0611,106.105,37.5348,224.738,35.2923,224.536,36.8403,225.461,20.96605,17.7944,15.9056,0.0,19.7682,224.447,17.6473,224.674,18.8672,225.504,10.757967,13.1389,12.4611,0.0,18.3764,224.639,17.8318,224.411,18.6712,225.38,10.48715,17.7278,17.9667,0.0,333.43496250000004,-0.0,-0.0,0.0,333.43496250000004,63.950371,5.213964474107587,17,1,1,0
2024-01-31 17:30:00,38.7269,223.523,36.7197,223.478,37.4707,224.162,21.472622,14.6,15.3556,104.473,36.4551,223.696,35.948,223.331,36.5732,224.224,20.726189,18.2722,16.2889,0.0,19.6361,223.443,17.4973,223.488,18.695,224.217,10.616264,13.5333,12.85,0.0,19.2978,223.486,17.0087,223.218,18.5323,224.132,10.42365,18.4889,18.8278,0.0,330.75775697200055,-0.0,-0.0,0.0,330.75775697200055,63.23872500000001,5.230304010272195,17,2,1,0
2024-02-03 17:30:00,39.1018,225.426,37.052,225.832,37.8231,226.355,21.88201,10.9167,11.4389,102.841,37.4143,225.31,35.3623,225.405,36.8609,226.119,21.025265,19.9833,17.3389,0.0,18.858,225.345,18.477,225.81,18.8574,226.4,10.787489,17.5222,17.25,0.0,19.3348,225.199,17.1063,225.309,18.6825,225.831,10.563349,20.8722,21.2056,0.0,225.0179591379999,-0.0,-0.0,0.0,225.0179591379999,64.258113,3.5017828665152355,17,5,2,1
